Date,Region,BBQ_Meals_Sold,Avg_Spend_£,Profit_Margin_pct,Age_Group,Income_Category
2025-07-08,Northern Ireland,99,2.81,21.97,25-34,High
2025-07-09,Wales,1034,3.42,29.79,25-34,Low
2025-07-10,England,1153,2.0,22.79,25-34,Medium
2025-07-11,Scotland,775,4.31,16.57,45-54,High
2025-07-12,England,127,5.11,22.15,35-44,High
2025-07-13,England,780,5.07,20.07,35-44,High
2025-07-14,England,963,4.44,12.15,55+,Low
2025-07-15,Wales,996,6.79,21.92,35-44,High
2025-07-16,Northern Ireland,455,4.21,22.47,45-54,Medium
2025-07-17,Scotland,1164,3.74,23.07,55+,Medium
2025-07-18,Northern Ireland,1110,4.26,21.56,55+,Low
2025-07-19,Scotland,894,6.89,20.8,45-54,Medium
2025-07-20,Scotland,974,5.4,25.56,25-34,Low
2025-07-21,Scotland,821,6.13,22.89,25-34,Medium
2025-07-22,Wales,922,2.4,29.8,18-24,High
2025-07-23,England,506,2.0,20.8,25-34,High
2025-07-24,Northern Ireland,1086,5.31,26.46,35-44,Medium
2025-07-25,England,441,9.04,25.3,35-44,Low
2025-07-26,Northern Ireland,1089,7.56,19.1,55+,Medium
2025-07-27,Scotland,805,2.0,26.62,45-54,Low
2025-07-28,Scotland,1149,7.89,15.46,18-24,Low
2025-07-29,England,960,3.51,16.67,25-34,Low
2025-07-30,Northern Ireland,417,6.1,19.92,55+,Low
2025-07-31,England,389,3.53,27.64,35-44,Low
2025-08-01,Wales,249,3.62,14.05,25-34,Medium
2025-08-02,Scotland,1116,5.31,7.79,35-44,High
2025-08-03,Scotland,689,7.42,19.54,25-34,Medium
2025-08-04,Wales,697,4.04,19.86,35-44,High
2025-08-05,Scotland,1080,7.8,21.86,25-34,Low
2025-08-06,England,556,2.0,26.42,18-24,Low
2025-08-07,Scotland,377,5.81,27.52,25-34,Low
2025-08-08,England,954,10.31,16.09,55+,Low
2025-08-09,Northern Ireland,1053,5.12,31.07,35-44,High
2025-08-10,England,779,4.51,21.94,18-24,High
2025-08-11,England,709,6.13,20.46,25-34,High
2025-08-12,England,796,7.58,8.88,25-34,Medium
2025-08-13,England,973,3.02,19.75,55+,High
2025-08-14,Northern Ireland,271,8.91,24.39,35-44,High
2025-08-15,Wales,941,4.36,18.79,45-54,High
2025-08-16,Wales,1078,6.22,17.45,55+,High
2025-08-17,Scotland,960,5.64,25.08,18-24,High
2025-08-18,Northern Ireland,56,6.19,19.53,35-44,High
2025-08-19,Scotland,255,2.0,12.97,25-34,Medium
2025-08-20,England,838,5.6,40.0,45-54,High
2025-08-21,Northern Ireland,788,3.08,18.26,55+,Medium
2025-08-22,Northern Ireland,857,7.52,18.71,45-54,Low
2025-08-23,Scotland,807,5.26,18.38,35-44,High
2025-08-24,Wales,466,5.89,24.91,18-24,Medium
2025-08-25,Northern Ireland,165,4.53,16.84,25-34,Medium
2025-08-26,Wales,951,6.35,20.52,45-54,High
2025-08-27,Wales,370,4.61,14.71,18-24,Medium
2025-08-28,England,892,7.47,11.05,25-34,Low
2025-08-29,Wales,374,6.21,16.26,18-24,Medium
2025-08-30,Scotland,785,3.66,19.93,45-54,Medium
2025-08-31,Wales,356,7.27,18.16,55+,Medium
2025-09-01,England,573,5.87,20.51,45-54,Low
2025-09-02,Scotland,1131,3.07,21.92,18-24,High
2025-09-03,Wales,1028,6.39,22.11,25-34,High
2025-09-04,England,177,7.37,26.14,55+,High
2025-09-05,England,341,5.92,26.5,35-44,Low
2025-09-06,Scotland,256,3.92,18.35,35-44,Medium
2025-09-07,Northern Ireland,778,4.01,26.66,18-24,Low
2025-09-08,Northern Ireland,773,7.86,24.61,18-24,Low
2025-09-09,Northern Ireland,1185,3.5,18.18,45-54,Low
2025-09-10,Wales,1165,7.04,18.05,18-24,Medium
2025-09-11,Scotland,597,2.98,13.48,55+,Medium
2025-09-12,Scotland,94,4.71,25.38,55+,High
2025-09-13,Scotland,941,4.35,22.29,45-54,Low
2025-09-14,Northern Ireland,670,6.99,30.2,45-54,Medium
2025-09-15,Wales,52,4.95,22.28,55+,Low
2025-09-16,England,375,4.41,23.86,25-34,High
2025-09-17,Scotland,174,4.37,29.56,18-24,Medium
2025-09-18,Northern Ireland,554,6.37,19.27,45-54,High
2025-09-19,Wales,86,10.02,32.31,35-44,High
2025-09-20,England,1119,2.0,21.2,35-44,Medium
2025-09-21,Wales,983,3.71,9.95,25-34,High
2025-09-22,Scotland,216,6.81,10.44,18-24,Medium
2025-09-23,Scotland,728,2.0,15.3,18-24,Medium
2025-09-24,Scotland,73,2.87,23.77,18-24,High
2025-09-25,Northern Ireland,198,5.3,32.49,55+,High
2025-09-26,England,917,2.97,21.97,25-34,Low
2025-09-27,Northern Ireland,73,2.0,20.17,55+,Low
2025-09-28,Wales,762,2.0,30.84,25-34,Low
2025-09-29,Scotland,179,5.63,25.31,55+,High
2025-09-30,England,270,5.9,16.2,55+,Medium
2025-10-01,Northern Ireland,178,4.18,17.29,55+,High
2025-10-02,Northern Ireland,1097,7.29,21.27,35-44,Low
2025-10-03,England,311,5.46,17.3,45-54,Low
2025-10-04,Northern Ireland,500,3.2,18.13,35-44,Low
2025-10-05,England,845,7.46,14.31,25-34,Medium
2025-10-06,England,816,5.41,19.39,35-44,High
2025-10-07,Northern Ireland,921,2.78,19.98,55+,High
2025-10-08,Northern Ireland,1053,6.31,22.09,55+,Low
2025-10-09,England,272,6.04,23.89,45-54,Low
2025-10-10,Northern Ireland,378,6.09,24.51,55+,High
2025-10-11,Northern Ireland,413,2.88,17.16,45-54,Medium
2025-10-12,Wales,615,5.45,18.61,35-44,Medium
2025-10-13,Wales,994,3.76,21.42,55+,Low
2025-10-14,Wales,745,2.37,19.67,55+,High
2025-10-15,England,139,2.0,25.38,45-54,Low
2025-10-16,Scotland,1156,5.94,25.18,25-34,Low
2025-10-17,Scotland,920,3.89,17.19,55+,High
2025-10-18,Northern Ireland,1061,2.0,29.81,45-54,Low
2025-10-19,Northern Ireland,397,6.55,24.17,18-24,Low
2025-10-20,Wales,268,5.93,25.38,18-24,High
2025-10-21,England,1150,4.32,12.51,55+,High
2025-10-22,Wales,330,2.0,17.5,18-24,Medium
2025-10-23,Wales,129,9.87,14.37,35-44,High
2025-10-24,Wales,264,8.92,20.53,25-34,Low
2025-10-25,Scotland,228,7.0,16.7,45-54,Medium
2025-10-26,England,981,2.88,11.86,35-44,Low
2025-10-27,England,1056,4.93,14.44,35-44,Low
2025-10-28,Scotland,754,9.38,17.03,55+,Low
2025-10-29,Scotland,1188,7.39,19.59,45-54,Low
2025-10-30,Scotland,119,3.4,21.12,35-44,High
2025-10-31,England,900,3.22,12.75,55+,Low
2025-11-01,Northern Ireland,983,4.25,22.13,55+,Low
2025-11-02,Northern Ireland,760,6.93,23.32,45-54,High
2025-11-03,England,896,7.89,20.93,45-54,Low
2025-11-04,Scotland,863,6.46,7.95,18-24,High
2025-11-05,Northern Ireland,636,4.71,16.7,55+,Low
2025-11-06,England,717,3.75,23.7,25-34,High
2025-11-07,Northern Ireland,443,6.94,20.45,18-24,Low
2025-11-08,Scotland,264,2.98,23.85,45-54,Medium
2025-11-09,Northern Ireland,397,3.58,24.24,25-34,Low
2025-11-10,Scotland,790,6.59,15.46,35-44,High
2025-11-11,Scotland,233,6.33,15.66,25-34,Low
2025-11-12,Wales,776,3.62,20.21,55+,Medium
2025-11-13,Wales,653,4.69,24.96,35-44,Low
2025-11-14,Wales,1049,3.98,32.38,25-34,High
2025-11-15,Northern Ireland,609,7.41,26.45,45-54,High
2025-11-16,Scotland,1169,7.15,21.82,25-34,High
2025-11-17,Wales,227,3.66,27.93,45-54,High
2025-11-18,Wales,1117,6.58,16.09,45-54,High
2025-11-19,Scotland,546,5.88,24.0,45-54,Low
2025-11-20,Northern Ireland,218,3.3,27.31,18-24,Medium
2025-11-21,Northern Ireland,214,2.0,20.73,55+,Low
2025-11-22,Northern Ireland,685,5.0,31.37,18-24,Low
2025-11-23,Scotland,499,5.21,23.54,55+,High
2025-11-24,Scotland,468,4.96,26.65,18-24,Medium
2025-11-25,Scotland,813,2.0,29.57,55+,Medium
2025-11-26,Northern Ireland,1180,2.0,27.91,45-54,Low
2025-11-27,Scotland,259,10.39,20.47,45-54,High
2025-11-28,Wales,428,7.87,21.57,55+,Medium
2025-11-29,Wales,748,8.46,14.29,55+,Low
2025-11-30,Wales,696,3.33,20.71,18-24,Medium
2025-12-01,Scotland,362,6.78,29.86,45-54,Medium
2025-12-02,England,738,2.0,21.59,55+,Low
2025-12-03,Wales,482,5.04,18.12,45-54,Low
2025-12-04,England,831,4.23,23.69,55+,High
2025-12-05,Scotland,476,4.9,20.03,55+,High
2025-12-06,England,1006,3.03,26.21,18-24,Medium
2025-12-07,Scotland,223,6.28,29.27,25-34,Low
2025-12-08,Northern Ireland,1084,4.59,17.42,45-54,Medium
2025-12-09,Scotland,589,6.58,18.2,18-24,Low
2025-12-10,England,1171,5.8,24.55,55+,High
2025-12-11,Scotland,560,5.45,18.31,35-44,High
2025-12-12,England,753,2.0,32.72,18-24,Medium
2025-12-13,Wales,241,6.33,18.26,35-44,Low
2025-12-14,Northern Ireland,740,8.47,24.35,18-24,Low
2025-12-15,Scotland,912,5.48,23.0,18-24,Medium
2025-12-16,Wales,501,4.02,24.39,35-44,High
2025-12-17,Wales,544,3.89,21.64,25-34,High
2025-12-18,Scotland,449,4.79,23.66,55+,Medium
2025-12-19,Northern Ireland,306,2.0,13.07,25-34,Low
2025-12-20,Wales,701,4.56,22.54,35-44,High
2025-12-21,Scotland,894,2.07,24.1,55+,Low
2025-12-22,England,652,3.99,25.07,25-34,High
2025-12-23,Scotland,838,7.23,25.7,45-54,Medium
2025-12-24,Scotland,1141,5.82,24.28,25-34,Low
2025-12-25,Scotland,807,2.78,15.84,25-34,High
2025-12-26,England,1115,5.99,30.04,18-24,Medium
2025-12-27,Northern Ireland,737,5.23,17.4,35-44,High
2025-12-28,Wales,791,8.82,23.0,35-44,High
2025-12-29,Northern Ireland,616,3.59,26.52,35-44,High
2025-12-30,England,239,6.98,19.15,25-34,High
2025-12-31,Wales,262,5.02,17.4,45-54,High
2026-01-01,England,1039,6.67,13.47,45-54,Medium
2026-01-02,Wales,836,6.93,16.26,35-44,Low
2026-01-03,England,913,6.27,24.04,18-24,Medium
2026-01-04,Northern Ireland,694,5.17,26.09,55+,High
2026-01-05,Northern Ireland,188,9.19,18.62,55+,Medium
2026-01-06,England,250,4.58,20.45,45-54,Low
2026-01-07,England,651,2.47,27.31,18-24,Low
2026-01-08,England,1033,7.33,13.53,45-54,Low
2026-01-09,Wales,333,5.38,20.54,18-24,Medium
2026-01-10,Wales,1104,6.72,14.95,18-24,Low
2026-01-11,Wales,832,4.15,20.18,35-44,Low
2026-01-12,England,982,5.91,21.47,35-44,Low
2026-01-13,Northern Ireland,746,5.43,22.23,18-24,Low
2026-01-14,England,170,5.32,24.97,55+,Medium
2026-01-15,Northern Ireland,714,2.27,20.4,18-24,Low
2026-01-16,Scotland,700,3.25,23.51,55+,Low
2026-01-17,Wales,791,8.6,27.14,18-24,Medium
2026-01-18,Scotland,344,3.76,26.63,25-34,Medium
2026-01-19,Wales,424,3.39,17.33,18-24,High
2026-01-20,England,530,2.0,19.37,18-24,High
2026-01-21,Wales,872,5.04,27.79,18-24,Low
2026-01-22,Wales,99,7.59,23.82,55+,Low
2026-01-23,Scotland,487,5.68,14.22,45-54,Medium
2026-01-24,Scotland,904,3.28,22.21,55+,Medium
2026-01-25,Northern Ireland,383,10.95,25.09,18-24,Low
2026-01-26,Wales,960,5.55,27.88,35-44,Medium
2026-01-27,England,849,6.59,15.72,25-34,Low
2026-01-28,Scotland,460,4.93,19.99,45-54,Medium
2026-01-29,Scotland,301,4.93,24.97,18-24,High
2026-01-30,Wales,1017,3.9,20.78,45-54,High
2026-01-31,Wales,753,4.18,26.52,18-24,High
2026-02-01,Scotland,566,3.98,23.94,18-24,Medium
2026-02-02,Scotland,1190,3.98,25.3,25-34,Low
2026-02-03,Scotland,96,2.41,19.64,45-54,Medium
2026-02-04,Wales,717,2.38,8.15,45-54,Low
2026-02-05,England,958,8.4,19.33,45-54,Low
2026-02-06,Wales,380,7.12,23.03,25-34,Medium
2026-02-07,England,119,7.66,28.3,55+,High
2026-02-08,Northern Ireland,693,6.99,19.29,18-24,High
2026-02-09,Scotland,618,4.92,19.98,35-44,Medium
2026-02-10,Wales,265,7.16,21.82,35-44,Medium
2026-02-11,Scotland,341,6.16,20.42,25-34,Low
2026-02-12,England,1153,2.18,20.32,35-44,High
2026-02-13,Wales,86,6.58,26.6,25-34,Medium
2026-02-14,Wales,364,5.88,33.7,35-44,Low
2026-02-15,Scotland,107,6.02,17.81,35-44,High
2026-02-16,Northern Ireland,1019,2.0,21.57,18-24,Low
2026-02-17,Wales,289,4.95,19.18,25-34,High
2026-02-18,Wales,310,6.42,17.03,25-34,Low
2026-02-19,Northern Ireland,550,5.42,12.41,35-44,Low
2026-02-20,Wales,820,2.94,17.1,18-24,Medium
2026-02-21,Scotland,627,6.7,22.4,25-34,Low
2026-02-22,Northern Ireland,1110,6.46,22.51,35-44,Medium
2026-02-23,England,53,4.01,23.13,55+,Medium
2026-02-24,Wales,1182,6.92,19.63,45-54,Medium
2026-02-25,Northern Ireland,379,4.9,20.35,25-34,Low
2026-02-26,Wales,625,5.39,25.27,25-34,Low
2026-02-27,Scotland,627,6.47,17.04,18-24,Medium
2026-02-28,Wales,501,3.91,18.31,45-54,Medium
2026-03-01,Scotland,927,6.44,26.46,18-24,Medium
2026-03-02,Wales,474,5.55,22.35,25-34,Low
2026-03-03,Scotland,760,8.1,11.75,35-44,High
2026-03-04,England,681,4.19,29.2,25-34,Low
2026-03-05,Northern Ireland,1018,4.65,21.68,25-34,Low
2026-03-06,Scotland,1034,4.07,25.53,25-34,High
2026-03-07,Wales,453,3.95,26.45,35-44,Medium
2026-03-08,Scotland,759,7.05,19.88,25-34,Medium
2026-03-09,Northern Ireland,946,2.0,26.73,18-24,High
2026-03-10,England,502,7.94,32.78,25-34,High
2026-03-11,England,903,4.6,26.36,35-44,Medium
2026-03-12,Northern Ireland,285,5.07,17.25,18-24,High
2026-03-13,Northern Ireland,1137,3.51,21.44,55+,High
2026-03-14,Scotland,1012,3.99,22.18,35-44,Medium
2026-03-15,England,674,5.56,26.34,45-54,Low
2026-03-16,England,1106,4.91,23.48,18-24,Medium
2026-03-17,Wales,1190,8.55,18.15,45-54,Low
2026-03-18,Northern Ireland,561,7.72,30.27,18-24,Medium
2026-03-19,Scotland,919,7.99,12.19,25-34,Low
2026-03-20,Wales,651,4.04,17.35,45-54,High
2026-03-21,Scotland,854,2.9,22.56,35-44,Low
2026-03-22,England,311,5.58,22.75,18-24,Low
2026-03-23,Scotland,150,7.51,24.29,35-44,High
2026-03-24,Wales,369,2.48,25.07,25-34,High
2026-03-25,Scotland,828,2.0,17.73,35-44,High
2026-03-26,Scotland,1177,7.87,21.89,55+,High
2026-03-27,Wales,291,2.34,18.3,25-34,High
2026-03-28,Northern Ireland,771,2.0,28.32,25-34,High
2026-03-29,Northern Ireland,225,6.85,17.22,25-34,Medium
2026-03-30,England,957,4.48,21.97,55+,High
2026-03-31,England,642,2.0,26.55,18-24,Low
2026-04-01,Northern Ireland,941,2.0,27.08,45-54,Medium
2026-04-02,Northern Ireland,760,5.25,22.77,55+,Low
2026-04-03,England,1004,6.36,24.11,18-24,High
2026-04-04,England,894,5.02,23.44,18-24,Medium
2026-04-05,Wales,591,4.09,12.53,25-34,High
2026-04-06,Northern Ireland,310,3.34,17.93,18-24,High
2026-04-07,England,416,4.26,22.25,55+,Medium
2026-04-08,Scotland,808,4.87,14.8,25-34,High
2026-04-09,Wales,1196,5.28,12.4,55+,Low
2026-04-10,Scotland,234,6.22,18.37,35-44,High
2026-04-11,Wales,1193,4.01,24.92,55+,Medium
2026-04-12,England,126,3.07,23.0,25-34,Medium
2026-04-13,Scotland,150,6.93,22.26,18-24,Medium
2026-04-14,England,833,3.79,22.33,25-34,Low
2026-04-15,England,243,3.99,20.6,55+,Medium
2026-04-16,Wales,781,2.0,28.74,25-34,High
2026-04-17,Northern Ireland,82,2.98,24.44,35-44,Low
2026-04-18,England,693,3.99,19.7,45-54,Low
2026-04-19,Northern Ireland,1178,7.83,24.76,18-24,Medium
2026-04-20,England,533,7.27,27.44,25-34,Medium
2026-04-21,Northern Ireland,576,4.36,23.54,18-24,Low
2026-04-22,England,491,8.81,22.92,45-54,Medium
2026-04-23,England,1152,2.83,26.93,25-34,High
2026-04-24,Northern Ireland,574,5.33,20.6,55+,Medium
2026-04-25,Wales,688,8.09,12.1,18-24,Medium
2026-04-26,England,713,4.11,22.02,55+,High
2026-04-27,Wales,402,3.07,27.74,55+,Low
2026-04-28,England,343,3.55,24.24,55+,Low
2026-04-29,England,464,5.64,17.61,25-34,Low
2026-04-30,Northern Ireland,1191,6.24,15.86,35-44,Medium
