transaction_id,meal_type,sales_amount,cost_of_goods_sold,customer_age,customer_gender,customer_income_bracket,profit,profit_margin_pct
35,Fried Rice,43.84,7.51,20,Female,Middle,36.330000000000005,82.87
36,Sweet & Sour Pork,45.95,5.41,41,Non-Binary,Low,40.540000000000006,88.23
37,Kung Pao Chicken,28.78,30.84,40,Male,Middle,-2.0599999999999987,-7.16
38,Kung Pao Chicken,60.84,9.3,43,Male,High,51.540000000000006,84.71
39,Kung Pao Chicken,40.25,25.83,35,Non-Binary,Middle,14.420000000000002,35.83
40,Kung Pao Chicken,62.22,44.46,66,Male,Middle,17.759999999999998,28.54
41,Hot Pot,57.07,35.48,46,Female,Middle,21.590000000000003,37.83
42,Fried Rice,51.55,33.74,65,Non-Binary,Low,17.809999999999995,34.55
43,Dim Sum,39.4,44.19,37,Male,High,-4.789999999999999,-12.16
44,Fried Rice,59.66,11.64,32,Non-Binary,Middle,48.019999999999996,80.49
45,Kung Pao Chicken,50.34,15.92,68,Non-Binary,Middle,34.42,68.38
46,Spring Rolls,54.27,32.94,62,Female,Low,21.330000000000005,39.3
47,Hot Pot,11.85,39.43,59,Male,High,-27.58,-232.74
48,Dim Sum,32.65,28.02,64,Female,Middle,4.629999999999999,14.18
49,Fried Rice,48.72,18.17,24,Male,High,30.549999999999997,62.71
50,Fried Rice,12.4,21.67,63,Non-Binary,Low,-9.270000000000001,-74.76
51,Noodles,39.42,31.61,27,Female,Low,7.810000000000002,19.81
52,Sweet & Sour Pork,41.47,42.71,29,Male,Low,-1.240000000000002,-2.99
53,Kung Pao Chicken,24.11,7.49,40,Non-Binary,Middle,16.619999999999997,68.93
54,Kung Pao Chicken,26.11,43.28,65,Female,Middle,-17.17,-65.76
55,Fried Rice,53.17,7.68,52,Female,Middle,45.49,85.56
56,Spring Rolls,13.03,10.3,22,Non-Binary,Low,2.7299999999999986,20.95
57,Sweet & Sour Pork,8.65,21.83,34,Non-Binary,Middle,-13.179999999999998,-152.37
58,Fried Rice,65.75,9.19,42,Male,Middle,56.56,86.02
59,Spring Rolls,52.14,26.26,60,Female,Low,25.88,49.64
60,Sweet & Sour Pork,42.51,20.78,52,Male,Middle,21.729999999999997,51.12
61,Noodles,55.88,14.49,45,Male,Middle,41.39,74.07
62,Kung Pao Chicken,24.53,39.19,29,Female,Low,-14.659999999999997,-59.76
63,Noodles,50.44,19.45,59,Male,Low,30.99,61.44
64,Noodles,44.96,36.38,56,Male,Middle,8.579999999999998,19.08
65,Noodles,26.56,13.6,31,Non-Binary,Middle,12.959999999999999,48.8
66,Hot Pot,26.05,34.96,34,Non-Binary,High,-8.91,-34.2
67,Fried Rice,38.11,5.43,22,Non-Binary,High,32.68,85.75
68,Spring Rolls,13.44,30.24,18,Male,Low,-16.799999999999997,-125.0
69,Kung Pao Chicken,52.44,32.93,50,Male,Middle,19.509999999999998,37.2
70,Sweet & Sour Pork,64.71,19.11,51,Female,Middle,45.599999999999994,70.47
71,Fried Rice,64.2,38.03,55,Female,Low,26.17,40.76
72,Noodles,44.52,29.31,18,Non-Binary,High,15.210000000000004,34.16
73,Hot Pot,21.15,15.7,41,Non-Binary,Low,5.449999999999999,25.77
74,Fried Rice,8.53,36.01,51,Female,Middle,-27.479999999999997,-322.16
75,Spring Rolls,41.73,17.84,31,Female,High,23.889999999999997,57.25
76,Fried Rice,23.36,16.34,28,Male,Low,7.02,30.05
77,Sweet & Sour Pork,25.91,19.24,67,Female,Middle,6.670000000000002,25.74
78,Noodles,49.24,35.75,68,Female,Middle,13.490000000000002,27.4
79,Dim Sum,15.62,33.77,49,Male,Low,-18.150000000000006,-116.2
80,Sweet & Sour Pork,45.31,26.49,55,Non-Binary,High,18.820000000000004,41.54
81,Sweet & Sour Pork,54.27,43.45,68,Female,High,10.82,19.94
82,Spring Rolls,10.14,30.15,51,Non-Binary,Middle,-20.009999999999998,-197.34
83,Sweet & Sour Pork,42.75,20.27,24,Male,High,22.48,52.58
84,Sweet & Sour Pork,52.74,37.39,18,Female,Low,15.350000000000001,29.11
85,Dim Sum,34.86,29.23,57,Female,Low,5.629999999999999,16.15
86,Kung Pao Chicken,26.69,36.31,38,Non-Binary,Middle,-9.620000000000001,-36.04
87,Dim Sum,17.7,31.26,60,Non-Binary,Middle,-13.560000000000002,-76.61
88,Spring Rolls,67.23,40.49,36,Male,Low,26.740000000000002,39.77
89,Sweet & Sour Pork,33.25,42.78,38,Non-Binary,Middle,-9.530000000000001,-28.66
90,Kung Pao Chicken,20.11,43.82,68,Female,Middle,-23.71,-117.9
91,Fried Rice,11.15,35.49,44,Male,Middle,-24.340000000000003,-218.3
92,Fried Rice,22.54,40.23,65,Male,High,-17.689999999999998,-78.48
93,Fried Rice,59.36,15.2,31,Female,Low,44.16,74.39
94,Spring Rolls,19.48,37.12,25,Female,Middle,-17.639999999999997,-90.55
95,Spring Rolls,49.59,42.22,23,Male,Middle,7.3700000000000045,14.86
96,Kung Pao Chicken,64.83,21.38,49,Female,High,43.45,67.02
97,Kung Pao Chicken,31.84,10.09,38,Female,Middle,21.75,68.31
98,Hot Pot,40.87,13.26,68,Male,Low,27.61,67.56
99,Noodles,17.63,22.55,54,Female,Middle,-4.920000000000002,-27.91
100,Fried Rice,22.15,7.97,35,Non-Binary,Low,14.18,64.02
101,Fried Rice,31.97,34.59,54,Female,Low,-2.6200000000000045,-8.2
102,Spring Rolls,50.34,13.24,64,Male,Middle,37.1,73.7
103,Dim Sum,38.09,6.75,28,Female,Low,31.340000000000003,82.28
104,Sweet & Sour Pork,60.67,22.72,18,Female,High,37.95,62.55
105,Sweet & Sour Pork,54.36,18.12,25,Female,Middle,36.239999999999995,66.67
106,Sweet & Sour Pork,43.21,5.51,30,Non-Binary,Middle,37.7,87.25
107,Hot Pot,34.9,22.2,32,Female,High,12.7,36.39
108,Fried Rice,42.66,12.07,44,Male,High,30.589999999999996,71.71
109,Hot Pot,34.93,7.66,46,Non-Binary,Middle,27.27,78.07
110,Fried Rice,36.98,6.89,20,Non-Binary,Middle,30.089999999999996,81.37
111,Dim Sum,26.89,30.22,38,Non-Binary,Middle,-3.3299999999999983,-12.38
112,Spring Rolls,18.61,36.28,18,Female,Middle,-17.67,-94.95
113,Hot Pot,67.78,8.75,59,Non-Binary,Low,59.03,87.09
114,Spring Rolls,10.93,32.76,64,Female,Middle,-21.83,-199.73
115,Noodles,11.14,30.64,47,Female,Low,-19.5,-175.04
116,Sweet & Sour Pork,14.78,26.14,49,Non-Binary,Low,-11.360000000000001,-76.86
117,Hot Pot,32.78,26.02,32,Female,Middle,6.760000000000002,20.62
118,Dim Sum,39.59,32.71,21,Male,Low,6.880000000000003,17.38
119,Dim Sum,26.94,12.01,62,Female,Middle,14.930000000000001,55.42
120,Hot Pot,54.11,14.95,25,Female,Middle,39.16,72.37
121,Noodles,30.33,23.89,44,Non-Binary,Middle,6.439999999999998,21.23
122,Fried Rice,15.62,32.93,35,Non-Binary,Middle,-17.310000000000002,-110.82
123,Hot Pot,34.56,12.81,66,Female,Middle,21.75,62.93
124,Sweet & Sour Pork,35.55,11.48,30,Non-Binary,High,24.069999999999997,67.71
125,Hot Pot,39.56,24.35,29,Male,Middle,15.21,38.45
126,Fried Rice,26.47,19.44,27,Non-Binary,High,7.029999999999998,26.56
127,Sweet & Sour Pork,33.55,43.73,64,Female,High,-10.18,-30.34
128,Dim Sum,29.56,23.06,27,Male,Middle,6.5,21.99
129,Kung Pao Chicken,19.24,33.82,44,Male,Low,-14.580000000000002,-75.78
130,Noodles,30.13,7.01,46,Female,High,23.119999999999997,76.73
131,Fried Rice,47.96,15.14,57,Non-Binary,Middle,32.82,68.43
132,Noodles,68.51,44.72,31,Female,Middle,23.790000000000006,34.72
133,Sweet & Sour Pork,38.54,36.2,19,Female,Middle,2.3399999999999963,6.07
134,Dim Sum,38.2,37.46,48,Female,Middle,0.740000000000002,1.94
135,Kung Pao Chicken,25.27,8.55,20,Female,High,16.72,66.17
136,Sweet & Sour Pork,32.84,36.86,36,Female,Low,-4.019999999999996,-12.24
137,Spring Rolls,63.64,20.67,19,Non-Binary,High,42.97,67.52
138,Hot Pot,20.35,4.82,25,Female,High,15.530000000000001,76.31
139,Hot Pot,36.86,19.37,30,Female,Middle,17.49,47.45
140,Sweet & Sour Pork,66.56,31.66,63,Male,Middle,34.900000000000006,52.43
141,Sweet & Sour Pork,51.67,21.22,59,Female,Low,30.450000000000003,58.93
142,Fried Rice,45.82,26.27,44,Non-Binary,Low,19.55,42.67
143,Spring Rolls,41.82,42.84,50,Male,Middle,-1.0200000000000031,-2.44
144,Sweet & Sour Pork,8.98,7.11,68,Female,Middle,1.87,20.82
145,Kung Pao Chicken,42.61,25.68,29,Female,Middle,16.93,39.73
146,Hot Pot,29.77,11.33,24,Non-Binary,High,18.439999999999998,61.94
147,Fried Rice,17.31,33.95,21,Male,High,-16.640000000000004,-96.13
148,Noodles,33.21,18.82,51,Non-Binary,Middle,14.39,43.33
149,Noodles,38.13,38.21,45,Non-Binary,Low,-0.0799999999999983,-0.21
150,Noodles,52.54,26.36,53,Female,Low,26.18,49.83
151,Noodles,45.27,27.05,25,Non-Binary,Low,18.220000000000002,40.25
152,Spring Rolls,23.14,42.84,62,Non-Binary,High,-19.700000000000003,-85.13
153,Sweet & Sour Pork,45.22,34.43,69,Non-Binary,Middle,10.79,23.86
154,Kung Pao Chicken,38.4,11.5,40,Female,Low,26.9,70.05
155,Dim Sum,33.54,40.25,42,Non-Binary,Middle,-6.710000000000001,-20.01
156,Noodles,46.29,14.47,35,Male,Middle,31.82,68.74
157,Kung Pao Chicken,35.8,23.19,24,Male,Low,12.609999999999996,35.22
158,Dim Sum,48.84,13.34,56,Female,Middle,35.5,72.69
159,Dim Sum,65.44,17.45,26,Female,Middle,47.989999999999995,73.33
160,Sweet & Sour Pork,42.37,10.65,32,Female,Low,31.72,74.86
161,Noodles,47.47,31.4,52,Male,Middle,16.07,33.85
162,Kung Pao Chicken,25.34,44.87,38,Non-Binary,Low,-19.529999999999998,-77.07
163,Dim Sum,28.65,36.11,65,Female,High,-7.460000000000001,-26.04
164,Spring Rolls,15.56,12.69,32,Male,Middle,2.870000000000001,18.44
165,Dim Sum,45.94,28.2,58,Non-Binary,Low,17.74,38.62
166,Fried Rice,26.44,24.28,50,Non-Binary,Low,2.16,8.17
167,Dim Sum,21.87,11.66,61,Non-Binary,Low,10.21,46.68
168,Dim Sum,66.87,32.6,58,Female,Low,34.27,51.25
169,Sweet & Sour Pork,29.55,40.54,28,Non-Binary,Middle,-10.989999999999998,-37.19
170,Dim Sum,23.85,5.99,49,Non-Binary,Middle,17.86,74.88
171,Hot Pot,25.22,34.53,46,Female,High,-9.310000000000002,-36.92
172,Spring Rolls,47.69,20.08,30,Non-Binary,Middle,27.61,57.89
173,Noodles,39.8,16.58,53,Non-Binary,Low,23.22,58.34
174,Fried Rice,43.37,44.75,57,Female,Low,-1.3800000000000026,-3.18
175,Fried Rice,27.76,15.64,24,Non-Binary,Middle,12.120000000000001,43.66
176,Spring Rolls,66.93,24.97,59,Non-Binary,Middle,41.96000000000001,62.69
177,Fried Rice,28.09,29.15,32,Non-Binary,Low,-1.0599999999999987,-3.77
178,Fried Rice,12.73,37.53,45,Male,Low,-24.8,-194.82
179,Spring Rolls,45.16,18.44,21,Female,Low,26.719999999999995,59.17
180,Noodles,65.01,36.27,55,Non-Binary,Low,28.740000000000002,44.21
181,Sweet & Sour Pork,19.66,12.24,26,Male,Low,7.42,37.74
182,Noodles,17.61,43.68,49,Male,Middle,-26.07,-148.04
183,Kung Pao Chicken,9.09,24.44,50,Male,Low,-15.350000000000001,-168.87
184,Kung Pao Chicken,63.37,9.68,51,Female,Middle,53.69,84.72
185,Kung Pao Chicken,41.11,44.95,28,Female,High,-3.8400000000000034,-9.34
186,Noodles,54.91,36.51,43,Non-Binary,Low,18.4,33.51
187,Kung Pao Chicken,69.53,28.55,31,Female,Middle,40.980000000000004,58.94
188,Hot Pot,56.93,31.69,64,Male,Middle,25.24,44.34
189,Spring Rolls,47.42,34.32,31,Female,Low,13.100000000000001,27.63
190,Spring Rolls,25.69,6.5,19,Non-Binary,Low,19.19,74.7
191,Dim Sum,13.01,38.97,64,Male,Middle,-25.96,-199.54
192,Spring Rolls,27.49,4.98,36,Non-Binary,High,22.509999999999998,81.88
193,Dim Sum,10.16,4.81,66,Male,Middle,5.3500000000000005,52.66
194,Fried Rice,60.55,3.18,62,Male,Middle,57.37,94.75
195,Hot Pot,54.71,44.52,18,Male,Low,10.189999999999998,18.63
196,Noodles,49.86,8.2,23,Female,Middle,41.66,83.55
197,Noodles,43.36,13.7,43,Non-Binary,Low,29.66,68.4
198,Kung Pao Chicken,46.6,21.1,29,Female,Middle,25.5,54.72
199,Hot Pot,38.04,25.48,49,Male,Middle,12.559999999999999,33.02
200,Spring Rolls,12.29,35.67,29,Female,Middle,-23.380000000000003,-190.24
201,Hot Pot,69.18,32.39,34,Male,Middle,36.790000000000006,53.18
202,Hot Pot,19.72,36.12,25,Male,Middle,-16.4,-83.16
203,Fried Rice,10.73,41.43,18,Male,Middle,-30.7,-286.11
204,Dim Sum,39.95,10.18,26,Female,Low,29.770000000000003,74.52
205,Hot Pot,15.35,39.9,57,Male,Middle,-24.549999999999997,-159.93
206,Spring Rolls,31.44,22.3,31,Female,Middle,9.14,29.07
207,Dim Sum,59.55,27.29,57,Non-Binary,Middle,32.26,54.17
208,Sweet & Sour Pork,33.96,5.11,62,Male,Middle,28.85,84.95
209,Kung Pao Chicken,23.44,20.48,34,Male,Middle,2.960000000000001,12.63
210,Hot Pot,40.45,38.5,26,Non-Binary,Middle,1.9500000000000028,4.82
211,Sweet & Sour Pork,19.44,19.61,38,Male,Middle,-0.16999999999999815,-0.87
212,Dim Sum,29.43,22.75,43,Non-Binary,Middle,6.68,22.7
213,Kung Pao Chicken,67.34,43.76,37,Female,High,23.580000000000005,35.02
214,Spring Rolls,21.96,42.21,23,Male,Middle,-20.25,-92.21
215,Spring Rolls,58.38,5.89,19,Female,Low,52.49,89.91
216,Hot Pot,65.14,17.91,41,Male,Low,47.230000000000004,72.51
217,Sweet & Sour Pork,69.66,8.0,44,Non-Binary,Low,61.66,88.52
218,Spring Rolls,8.04,8.01,37,Female,Middle,0.02999999999999936,0.37
219,Noodles,8.21,8.66,31,Male,Middle,-0.4499999999999993,-5.48
220,Sweet & Sour Pork,16.44,37.0,37,Male,Low,-20.56,-125.06
221,Dim Sum,45.16,32.92,39,Male,Middle,12.239999999999995,27.1
222,Spring Rolls,40.78,13.98,36,Non-Binary,Low,26.8,65.72
223,Spring Rolls,60.27,8.23,54,Non-Binary,Middle,52.040000000000006,86.34
224,Sweet & Sour Pork,11.98,15.97,22,Non-Binary,Low,-3.99,-33.31
225,Fried Rice,36.25,19.86,43,Female,High,16.39,45.21
226,Spring Rolls,56.94,15.84,57,Female,Middle,41.099999999999994,72.18
227,Hot Pot,47.97,12.98,52,Female,Low,34.989999999999995,72.94
228,Dim Sum,29.21,44.12,56,Non-Binary,Low,-14.909999999999997,-51.04
229,Fried Rice,20.47,11.16,53,Male,Middle,9.309999999999999,45.48
230,Kung Pao Chicken,33.59,6.85,30,Male,Middle,26.740000000000002,79.61
231,Sweet & Sour Pork,17.61,33.01,53,Female,Low,-15.399999999999999,-87.45
232,Dim Sum,18.24,8.1,30,Non-Binary,Middle,10.139999999999999,55.59
233,Sweet & Sour Pork,58.85,8.75,58,Female,Low,50.1,85.13
234,Dim Sum,11.58,10.81,47,Non-Binary,High,0.7699999999999996,6.65
235,Noodles,60.32,27.55,44,Female,High,32.769999999999996,54.33
236,Fried Rice,16.55,7.57,68,Female,Low,8.98,54.26
237,Sweet & Sour Pork,18.41,25.53,28,Female,Middle,-7.120000000000001,-38.67
238,Kung Pao Chicken,13.79,22.9,18,Female,Low,-9.11,-66.06
239,Noodles,28.24,21.26,33,Male,High,6.979999999999997,24.72
240,Fried Rice,42.11,3.15,35,Male,High,38.96,92.52
241,Noodles,35.28,21.7,62,Female,Low,13.580000000000002,38.49
242,Spring Rolls,62.53,33.09,37,Male,High,29.439999999999998,47.08
243,Noodles,47.53,43.68,28,Female,Middle,3.8500000000000014,8.1
244,Noodles,29.93,6.54,57,Male,Low,23.39,78.15
245,Hot Pot,35.51,29.67,57,Male,Low,5.839999999999996,16.45
246,Sweet & Sour Pork,21.62,28.95,23,Non-Binary,Low,-7.329999999999998,-33.9
247,Hot Pot,51.34,41.65,34,Female,High,9.690000000000005,18.87
248,Sweet & Sour Pork,40.68,29.5,39,Female,Middle,11.18,27.48
249,Noodles,47.01,25.81,58,Non-Binary,High,21.2,45.1
250,Sweet & Sour Pork,9.94,15.6,67,Female,Middle,-5.66,-56.94
251,Dim Sum,62.22,21.0,58,Male,High,41.22,66.25
252,Dim Sum,63.38,37.39,22,Non-Binary,Low,25.990000000000002,41.01
253,Fried Rice,52.83,10.64,62,Male,Middle,42.19,79.86
254,Spring Rolls,13.22,42.64,54,Female,Low,-29.42,-222.54
255,Sweet & Sour Pork,29.51,23.99,28,Male,Middle,5.520000000000003,18.71
256,Hot Pot,25.02,18.79,30,Non-Binary,Middle,6.23,24.9
257,Kung Pao Chicken,34.21,43.43,22,Female,High,-9.219999999999999,-26.95
258,Fried Rice,14.33,37.63,60,Female,Middle,-23.300000000000004,-162.6
259,Sweet & Sour Pork,22.16,6.48,61,Non-Binary,Low,15.68,70.76
260,Fried Rice,35.74,22.91,18,Male,Middle,12.830000000000002,35.9
261,Kung Pao Chicken,61.71,3.4,64,Female,Middle,58.31,94.49
262,Noodles,59.89,42.37,54,Female,Middle,17.520000000000003,29.25
263,Noodles,48.43,16.24,47,Non-Binary,High,32.19,66.47
264,Spring Rolls,9.37,39.81,18,Male,High,-30.440000000000005,-324.87
265,Fried Rice,38.86,28.05,57,Male,High,10.809999999999999,27.82
266,Hot Pot,65.73,23.27,32,Male,Middle,42.46000000000001,64.6
267,Fried Rice,23.24,33.67,64,Female,Low,-10.430000000000003,-44.88
268,Noodles,10.14,8.21,51,Male,Middle,1.9299999999999997,19.03
269,Dim Sum,28.39,39.07,29,Female,High,-10.68,-37.62
270,Kung Pao Chicken,35.46,17.75,21,Male,Middle,17.71,49.94
271,Fried Rice,67.42,22.6,19,Non-Binary,Middle,44.82,66.48
272,Spring Rolls,69.17,36.22,47,Non-Binary,Low,32.95,47.64
273,Spring Rolls,13.16,22.59,42,Male,High,-9.43,-71.66
274,Hot Pot,46.73,34.02,18,Non-Binary,Middle,12.709999999999994,27.2
275,Noodles,32.74,43.58,41,Non-Binary,Low,-10.839999999999996,-33.11
276,Hot Pot,51.57,25.59,68,Female,Low,25.98,50.38
277,Noodles,63.78,8.1,39,Non-Binary,Middle,55.68,87.3
278,Sweet & Sour Pork,54.73,15.17,62,Female,Middle,39.559999999999995,72.28
279,Spring Rolls,36.15,34.52,61,Male,Middle,1.6299999999999955,4.51
280,Spring Rolls,10.31,30.52,20,Female,Middle,-20.21,-196.02
281,Spring Rolls,65.37,8.57,18,Non-Binary,High,56.800000000000004,86.89
282,Spring Rolls,65.96,20.47,28,Non-Binary,High,45.489999999999995,68.97
283,Fried Rice,47.79,16.74,62,Non-Binary,Low,31.05,64.97
284,Sweet & Sour Pork,62.91,18.34,53,Male,Middle,44.56999999999999,70.85
285,Dim Sum,28.47,19.57,37,Female,Middle,8.899999999999999,31.26
286,Dim Sum,29.65,41.41,49,Female,Middle,-11.759999999999998,-39.66
287,Dim Sum,67.91,13.98,29,Non-Binary,Low,53.92999999999999,79.41
288,Sweet & Sour Pork,28.84,17.85,33,Male,Middle,10.989999999999998,38.11
289,Sweet & Sour Pork,36.16,11.63,57,Non-Binary,High,24.529999999999994,67.84
290,Noodles,28.16,25.05,24,Non-Binary,Middle,3.1099999999999994,11.04
291,Kung Pao Chicken,21.39,42.4,46,Male,Middle,-21.009999999999998,-98.22
292,Kung Pao Chicken,35.09,22.48,46,Female,Low,12.610000000000003,35.94
293,Dim Sum,54.68,5.39,59,Male,Middle,49.29,90.14
294,Dim Sum,53.78,29.65,69,Female,Middle,24.130000000000003,44.87
295,Spring Rolls,10.92,7.58,36,Non-Binary,High,3.34,30.59
296,Sweet & Sour Pork,28.3,15.0,22,Male,High,13.3,47.0
297,Spring Rolls,58.05,4.05,40,Male,Low,54.0,93.02
298,Dim Sum,59.55,14.55,33,Female,Middle,45.0,75.57
299,Hot Pot,28.26,6.3,39,Female,Middle,21.96,77.71
300,Kung Pao Chicken,57.61,41.57,26,Female,Middle,16.04,27.84
301,Dim Sum,52.72,21.02,65,Non-Binary,Middle,31.7,60.13
302,Noodles,29.66,34.9,43,Female,Low,-5.239999999999998,-17.67
303,Sweet & Sour Pork,41.03,21.26,57,Male,Middle,19.77,48.18
304,Sweet & Sour Pork,18.7,22.33,32,Female,High,-3.629999999999999,-19.41
305,Dim Sum,9.83,29.31,53,Male,Middle,-19.479999999999997,-198.17
306,Spring Rolls,21.75,24.7,52,Female,Middle,-2.9499999999999993,-13.56
307,Kung Pao Chicken,43.65,4.69,38,Non-Binary,Low,38.96,89.26
308,Kung Pao Chicken,56.23,29.92,67,Female,Middle,26.309999999999995,46.79
309,Spring Rolls,64.62,7.96,58,Female,Low,56.660000000000004,87.68
310,Spring Rolls,63.23,17.51,57,Male,High,45.72,72.31
311,Kung Pao Chicken,10.89,39.47,65,Non-Binary,High,-28.58,-262.44
312,Dim Sum,61.31,19.03,19,Female,Low,42.28,68.96
313,Kung Pao Chicken,14.47,40.28,40,Male,High,-25.810000000000002,-178.37
314,Hot Pot,13.15,10.82,32,Non-Binary,Low,2.33,17.72
315,Kung Pao Chicken,27.35,34.96,47,Non-Binary,Middle,-7.609999999999999,-27.82
316,Sweet & Sour Pork,26.08,20.47,32,Male,Middle,5.609999999999999,21.51
317,Dim Sum,60.38,44.42,44,Male,Middle,15.96,26.43
318,Kung Pao Chicken,31.75,43.01,55,Non-Binary,Low,-11.259999999999998,-35.46
319,Spring Rolls,26.09,13.18,49,Male,Middle,12.91,49.48
320,Hot Pot,41.4,6.12,28,Female,Middle,35.28,85.22
321,Noodles,66.48,26.73,63,Male,Middle,39.75,59.79
322,Fried Rice,25.47,13.76,41,Female,Low,11.709999999999999,45.98
323,Kung Pao Chicken,59.29,21.43,47,Male,Middle,37.86,63.86
324,Fried Rice,53.17,26.83,23,Female,Middle,26.340000000000003,49.54
325,Kung Pao Chicken,37.08,23.97,32,Female,Middle,13.11,35.36
326,Kung Pao Chicken,54.18,19.04,20,Non-Binary,Middle,35.14,64.86
327,Fried Rice,38.82,18.93,55,Non-Binary,Middle,19.89,51.24
328,Hot Pot,51.51,17.65,41,Male,Middle,33.86,65.73
329,Kung Pao Chicken,29.89,39.78,26,Male,Middle,-9.89,-33.09
330,Sweet & Sour Pork,37.46,44.79,43,Non-Binary,Middle,-7.329999999999998,-19.57
331,Dim Sum,21.06,19.37,34,Non-Binary,High,1.6899999999999977,8.02
332,Dim Sum,27.55,29.43,32,Male,Low,-1.879999999999999,-6.82
333,Fried Rice,69.56,26.1,68,Female,Low,43.46,62.48
334,Noodles,45.02,22.93,23,Female,Middle,22.090000000000003,49.07
335,Spring Rolls,46.87,24.66,41,Male,Low,22.209999999999997,47.39
336,Dim Sum,28.22,15.03,43,Non-Binary,Low,13.19,46.74
337,Spring Rolls,46.08,15.83,45,Female,Low,30.25,65.65
338,Dim Sum,23.95,25.9,27,Male,High,-1.9499999999999993,-8.14
339,Spring Rolls,31.21,9.67,39,Non-Binary,Low,21.54,69.02
340,Fried Rice,68.7,17.08,41,Female,Middle,51.620000000000005,75.14
341,Sweet & Sour Pork,55.46,14.74,46,Non-Binary,High,40.72,73.42
342,Kung Pao Chicken,34.78,28.15,20,Male,Low,6.630000000000003,19.06
343,Kung Pao Chicken,42.69,30.59,60,Non-Binary,Middle,12.099999999999998,28.34
344,Sweet & Sour Pork,27.23,24.06,49,Female,Middle,3.1700000000000017,11.64
345,Fried Rice,51.62,43.18,57,Non-Binary,Low,8.439999999999998,16.35
346,Fried Rice,26.1,18.33,61,Female,Middle,7.770000000000003,29.77
347,Spring Rolls,60.22,33.3,28,Non-Binary,Low,26.92,44.7
348,Noodles,66.67,12.01,35,Non-Binary,High,54.660000000000004,81.99
349,Dim Sum,49.51,35.99,29,Male,Low,13.519999999999996,27.31
350,Noodles,20.47,36.88,33,Female,High,-16.410000000000004,-80.17
351,Fried Rice,35.13,12.18,67,Female,High,22.950000000000003,65.33
352,Dim Sum,25.92,41.17,43,Male,Middle,-15.25,-58.83
353,Noodles,30.8,42.23,57,Female,Middle,-11.429999999999996,-37.11
354,Hot Pot,18.05,38.55,48,Male,Middle,-20.499999999999996,-113.57
355,Sweet & Sour Pork,45.49,21.97,49,Male,Low,23.520000000000003,51.7
356,Kung Pao Chicken,28.12,4.25,20,Non-Binary,High,23.87,84.89
357,Sweet & Sour Pork,18.31,20.34,33,Male,High,-2.030000000000001,-11.09
